No,CSO Name,ImageURL,Website,More_info,WADMKK,WADMPR,type,Context,Advocacy,Coastal Waste Management,Education,Institutional Strengthening and Human Resource Capacity Building,Mangrove Ecotourism,Mangrove Rehabilitation or Restoration,Research,Strengthening Regulations,Sustainable Aquaculture
80,Yayasan KEHATI,https://kiprahagroforestri.id/wp-content/uploads/2025/11/KEHATI.jpg,https://kehati.or.id/,https://ikamat.org/2020/12/19/ikamat-kerjakan-proyek-riset-karbon-mangrove-di-brebes/,Brebes,Jawa Tengah,Kabupaten,Mangrove Carbon Research Project at Pandansari Mangrove Tourism Area,,,✓,✓,✓,✓,✓,,
81,Yayasan KEHATI,https://kiprahagroforestri.id/wp-content/uploads/2025/11/KEHATI.jpg,https://kehati.or.id/,https://www.antaranews.com/berita/2819201/yayasan-kehati-kembangkan-program-konservasi-mangrove-di-banten,Pandeglang,Banten,Kabupaten,Mangrove Blue Carbon Program,,,✓,✓,,✓,✓,,
82,Yayasan Konservasi Alam Nusantara (YKAN),https://kiprahagroforestri.id/wp-content/uploads/2025/11/YKAN.png,https://www.ykan.or.id/id/,"https://www.ykan.or.id/id/publikasi/artikel/siaran-pers/pelatihan-teknis-perlindungan-dan-perbaikan-ekosistem-mangrove/;
https://www.ykan.or.id/id/publikasi/artikel/siaran-pers/perkuat-usaha-perempuan-dan-konservasi-laut/",Berau,Kalimantan Timur,Kabupaten,SOMACORE (Solutions for Marine and Coastal Resilience in the Coral Triangle),✓,,✓,✓,,✓,✓,,✓
83,Yayasan Konservasi Alam Nusantara (YKAN),https://kiprahagroforestri.id/wp-content/uploads/2025/11/YKAN.png,https://www.ykan.or.id/id/,https://www.ykan.or.id/id/publikasi/artikel/siaran-pers/turunkan-laju-kerusakan-mangrove-desa-teluk-pambang-bengkalis/,Bengkalis,Riau,Kabupaten,Nature-based Solutions Mangrove Program in Teluk Pambang Village,✓,,✓,✓,,✓,✓,✓,✓
84,Yayasan Konservasi Alam Nusantara (YKAN),https://kiprahagroforestri.id/wp-content/uploads/2025/11/YKAN.png,https://www.ykan.or.id/id/,https://tahija.or.id/environment/community-based-mangrove-protection-and-restoration-program,Bangka,Kepulauan Bangka Belitung,Kabupaten,Community-Based Mangrove Protection & Restoration,,,,,✓,✓,✓,,✓
85,Yayasan Konservasi Alam Nusantara (YKAN),https://kiprahagroforestri.id/wp-content/uploads/2025/11/YKAN.png,https://www.ykan.or.id/id/,https://tahija.or.id/environment/community-based-mangrove-protection-and-restoration-program,Belitung,Kepulauan Bangka Belitung,Kabupaten,Community-Based Mangrove Protection & Restoration,,,,,✓,✓,✓,,✓
86,Yayasan Konservasi Alam Nusantara (YKAN),https://kiprahagroforestri.id/wp-content/uploads/2025/11/YKAN.png,https://www.ykan.or.id/id/,https://telusuri.id/restorasi-mangrove-di-ogan-komering-ilir/,Ogan Komering Ilir,Sumatera Selatan,Kabupaten,Mangrove Restoration Project,,,,,,✓,,,
87,Yayasan Konservasi Alam Nusantara (YKAN),https://kiprahagroforestri.id/wp-content/uploads/2025/11/YKAN.png,https://www.ykan.or.id/id/,https://www.ykan.or.id/id/publikasi/artikel/perspektif/restorasi-kerusakan-mangrove/,Kutai Kartanegara,Kalimantan Timur,Kabupaten,Mangrove Restoration Project,,,,,,✓,,,
88,Yayasan Konservasi Pesisir Indonesia (Yakopi),https://kiprahagroforestri.id/wp-content/uploads/2025/11/yakopi.jpeg,https://www.yakopi.org/,https://www.yakopi.org/yakopi-and-aceh-singkil-government-partner-for-coastal-ecosystem-restoration/; https://aceh.wartapolri.com/2023/09/24/yakopi-gelar-konsultasi-publik-mengenai-teknis-restorasi-mangrove/,Aceh Singkil,Aceh,Kabupaten,Aceh Singkil Coastal Ecosystem Restoration Partnership,,,,✓,,✓,,✓,
89,Yayasan Konservasi Pesisir Indonesia (Yakopi),https://kiprahagroforestri.id/wp-content/uploads/2025/11/yakopi.jpeg,https://www.yakopi.org/,https://www.researchgate.net/publication/385715119_Community_Participation_in_Mangrove_Conservation_the_Evidence_from_Blang_Sebel_Simeulue,Simeulue,Aceh,Kabupaten,Community Participation in Mangrove Conservation Study,,,,✓,,,✓,,
90,Yayasan Konservasi Pesisir Indonesia (Yakopi),https://kiprahagroforestri.id/wp-content/uploads/2025/11/yakopi.jpeg,https://www.yakopi.org/,https://batubarapos.com/batubara/batu-bara-siap-jadi-paru-paru-dunia-mangrove-culture-festival-2025-guncang-pantai-sejarah/,Batu Bara,Sumatera Utara,Kabupaten,Mangrove Culture Festival 2025,✓,,✓,,✓,,,,
91,Yayasan Mangrove Indonesia Lestari,https://kiprahagroforestri.id/wp-content/uploads/2025/11/yayasan_mangrove_indonesia_lestari_logo.jpg,https://mangrovejakarta.id/,https://www.goodnewsfromindonesia.id/2025/02/28/kegiatan-menanam-ratusan-pohon-bakau-oleh-mangrove-jakarta-community-dalam-rangka-hari-sampah-sedunia,Tangerang,Banten,Kabupaten,Jakarta Mangrove Community World Waste Day,,✓,,✓,,✓,,,
92,Yayasan Mangrove Sosial Indonesia (YSMI),https://mangroveindonesia.or.id/wp-content/uploads/2024/04/logo-2024-baru.png,https://mangroveindonesia.or.id/our-project/,https://greenindonesia.co/seram-maluku-tanam-kembali-mangrove-yang-rusak/,Seram Bagian Timur,Maluku,Kabupaten,Seram-Maluku Damaged Mangrove Replanting,,,,✓,,✓,,,
93,Yayasan Parapuar Lingko Nusantara,https://kiprahagroforestri.id/wp-content/uploads/2025/11/ypln.png,https://www.ypln.or.id/,https://www.ypln.or.id/?page_id=286,Manggarai Barat,Nusa Tenggara Timur,Kabupaten,Mangrove Guardian Program,,,✓,✓,,✓,,,
94,Yayasan Penyu Berau (YPB),https://kiprahagroforestri.id/wp-content/uploads/2025/11/ypln.png,https://yayasanpenyuberau.org/,"https://yayasanpenyuberau.org/2021/05/17/ypb-dan-tfca-kalimantan-bermitra-dalam-program-pengelolaan-kawasan-hutan-mangrove-di-kampung-tembudan/;
https://yayasanpenyuberau.org/project-details/",Berau,Kalimantan Timur,Kabupaten,Mangrove Forest Management,,,,✓,,✓,,✓,
95,Yayasan Pesisir Lestari,https://kiprahagroforestri.id/wp-content/uploads/2025/11/pesisir_lestari.png,https://www.pesisirlestari.org/,https://blue-forests.org/id/adaptasi-perubahan-iklim-dengan-mata-pencaharian-baru-dan-rehabilitasi-mangrove-pembelajaran-dari-pesisir-indragiri-hilir/ruang-berita/cerita-dari-lapangan/,Indragiri Hilir,Riau,Kabupaten,Climate Adaptation with New Livelihoods & Mangrove Rehab,,,,,,,,,
96,Yayasan Rumah Bahari Gemilang (Rubalang),https://kiprahagroforestri.id/wp-content/uploads/2025/11/yayasan_rumah_bahari_gemilang_rubalang_logo.jpg,https://rubalang.or.id/,https://rindang.id/2024/06/09/rubalang-dan-arkom-inisiasi-Penanaman-mangrove-di-pulau-pangalasiang/,Donggala,Sulawesi Tengah,Kabupaten,Pangalasiang Island Mangrove Planting Initiative,,,,✓,,✓,,,
97,Yayasan WWF Indonesia,https://kiprahagroforestri.id/wp-content/uploads/2025/11/wwf.png,https://www.wwf.id/id/search?combine=mangrove,https://www.wwf.id/en/blog/1000-mangrove-concrete-step-preserve-ecosystem,Manggarai Barat,Nusa Tenggara Timur,Kabupaten,1000 Mangroves: Ecosystem Preservation Initiative,,,,✓,,✓,,,
98,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,https://www.cifor-icraf.org/community-business-mangrove/,Banyuasin,Sumatera Selatan,Kabupaten,"Mangrove Restoration in Banyuasin Regency, South Sumatra (SMART",,,,✓,,✓,✓,✓,✓
99,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,https://www.cifor-icraf.org/project/8a7329f1dbd244d67f2508dc378cc914/,Badung,Bali,Kabupaten,Evaluation of biodiversity and carbon sink capacity in mangrove forests,,,,,,,✓,,
100,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,https://www.cifor-icraf.org/project/dc927bf447024492a201f3ddf2712df8/,Serang,Banten,Kabupaten,Restoring Coastal Landscape for Adaptation Integrated Mitigation (ReCLAIM),,,,✓,,,✓,,
